fever flu,0.93546362
flu and fever,0.93546362
flu fever,0.93546362
the flu,0.769804263
flu cough,0.7684524
cough fever,0.765320631
fever cough,0.765320631
symptoms of flu,0.764641177
symptoms of the flu,0.761662003
early flu symptoms,0.75532287
flu headache,0.751887865
the flu virus,0.751807761
cold and flu,0.750525947
flu and cold,0.750525947
contagious flu,0.742804484
flu contagious,0.742804484
flu complications,0.73862836
type a flu,0.736642058
cold or flu,0.728888667
flu or cold,0.728888667
treat flu,0.726025131
cure flu,0.720936742
high fever,0.720689807
flu treatment,0.716798921
treat the flu,0.715362531
break a fever,0.715016361
cure the flu,0.714224333
duration of flu,0.714120577
flu duration,0.714120577
is flu contagious,0.713522977
having the flu,0.713169063
flu germs,0.711953787
flu children,0.710187167
treating flu,0.710094283
flu care,0.709041899
influenza symptoms,0.708633696
symptoms of influenza,0.708633696
flu medicine,0.708494327
flu test,0.707890295
flu lasts,0.706399551
is the flu contagious,0.703864248
flu contagious period,0.702715877
cold versus flu,0.702574901
flu versus cold,0.702574901
flu in children,0.702122606
exposed to flu,0.701149508
treating the flu,0.69960778
flu length,0.696653198
length of flu,0.696653198
influenza a,0.69639122
treatment for flu,0.693994265
medicine for flu,0.692681766
signs of flu,0.691802883
dangerous fever,0.691078259
flu incubation,0.689499002
get over the flu,0.687778059
flu report,0.686287078
getting over the flu,0.685192171
flu remedies,0.6822963
influenza contagious,0.682233134
flu recovery,0.682053042
medicine for the flu,0.680318569
signs of the flu,0.680225323
cold vs flu,0.679819535
flu vs  cold,0.679819535
flu vs cold,0.679819535
fight the flu,0.679688849
treatment for the flu,0.67875377
flu treatments,0.673760536
flu and pregnancy,0.673690549
reduce a fever,0.671730807
reduce fever,0.671730807
remedies for flu,0.670513215
fevers,0.667761698
flu how long,0.666821266
how long flu,0.666821266
how to treat flu,0.665096459
how long is flu contagious,0.659589891
remedies for the flu,0.658190487
over the counter flu,0.652737287
symptoms of pneumonia,0.652515158
how to treat the flu,0.652328336
influenza type a,0.646971663
type a influenza,0.646971663
how long is the flu contagious,0.646962051
i have the flu,0.646907324
influenza treatment,0.644767429
pneumonia,0.63662145
get rid of the flu,0.634776264
over the counter flu medicine,0.633728486
influenza duration,0.628942556
how to reduce a fever,0.62877607
symptoms of bronchitis,0.626018537
influenza a and b,0.621386435
incubation period for flu,0.6191335
how long is the flu,0.615825377
fever reducer,0.614518387
incubation period for the flu,0.610097945
influenza incubation,0.609490391
how long does flu last,0.605033528
do i have the flu,0.603255004
how to get rid of the flu,0.591083843
how long does the flu last,0.588488071
strep,0.584473461
bronchitis,0.582837414
sinus infections,0.581674539
walking pneumonia,0.575139396
influenza incubation period,0.572647194
acute bronchitis,0.569546833
what to do if you have the flu,0.564987073
painful cough,0.562594695
sinus,0.546579422
upper respiratory,0.544563167
taking temperature,0.543458806
how long contagious,0.541808531
ear thermometer,0.537954151
body temperature,0.535881702
normal body temperature,0.533469715
human temperature,0.529453042
normal body,0.523443012
low body,0.51949181
z pak,0.508153309
braun thermoscan,0.508022477
oscillococcinum,0.50701123
robitussin,0.50577496
thermoscan,0.50567676
tussin,0.50311178
tussionex,0.50004561
for weight loss,0.490593606
gba android,0.490493606
forearm burning sensation,0.480954129
ge medical,0.479964828
gallbladder disorder,0.478589898
forced vaccinations,0.428026129
does alcohol,0.424400192
does amoxicillin,0.422382451
acute cervical pain,0.420899258
frozen shoulder,0.420899258
frozen shoulder following sports,0.420899258
frozen sisters,0.420899258
frozen snowman,0.420899258
fungal causes of pericarditis,0.420899258
gangrene,0.420899258
healthy pizza,0.420899258
how to cure food poisoning,0.420899258
noninfectious causes of fever in children,0.420899258
when your pregnant,0.420899258
abrupt mood swings,0.420899255
abs sore,0.420899255
abscess,0.420899255
abscessed teeth,0.420899255
absence of bowel movement,0.420899255
absence of corneal response,0.420899255
absence of doll's eye sign,0.420899255
absence of eyelid,0.420899255
absence of femoral pulse in children,0.420899255
acquired leukonychia in children,0.420899255
